Data,Valor
2020-01-01,50.0
2020-01-02,50.03000600120024
2020-01-03,50.06001200240048
2020-01-04,50.09001800360072
2020-01-05,50.12002400480096
2020-01-06,50.1500300060012
2020-01-07,50.18003600720144
2020-01-08,50.21004200840168
2020-01-09,50.24004800960192
2020-01-10,50.27005401080216
2020-01-11,50.3000600120024
2020-01-12,50.33006601320264
2020-01-13,50.36007201440288
2020-01-14,50.39007801560312
2020-01-15,50.42008401680336
2020-01-16,50.4500900180036
2020-01-17,50.48009601920384
2020-01-18,50.510102020404084
2020-01-19,50.54010802160432
2020-01-20,50.57011402280456
2020-01-21,50.6001200240048
2020-01-22,50.630126025205044
2020-01-23,50.66013202640528
2020-01-24,50.69013802760552
2020-01-25,50.72014402880576
2020-01-26,50.750150030006004
2020-01-27,50.78015603120624
2020-01-28,50.81016203240648
2020-01-29,50.84016803360672
2020-01-30,50.870174034806965
2020-01-31,50.9001800360072
2020-02-01,50.93018603720744
2020-02-02,50.96019203840768
2020-02-03,50.99019803960792
2020-02-04,51.02020404080816
2020-02-05,51.0502100420084
2020-02-06,51.080216043208644
2020-02-07,51.11022204440888
2020-02-08,51.14022804560912
2020-02-09,51.17023404680936
2020-02-10,51.200240048009604
2020-02-11,51.23024604920984
2020-02-12,51.26025205041008
2020-02-13,51.29025805161032
2020-02-14,51.320264052810565
2020-02-15,51.3502700540108
2020-02-16,51.38027605521104
2020-02-17,51.41028205641128
2020-02-18,51.440288057611525
2020-02-19,51.47029405881176
2020-02-20,51.500300060012
2020-02-21,51.530306061212244
2020-02-22,51.560312062412486
2020-02-23,51.59031806361272
2020-02-24,51.62032406481296
2020-02-25,51.650330066013204
2020-02-26,51.680336067213446
2020-02-27,51.71034206841368
2020-02-28,51.74034806961392
2020-02-29,51.770354070814165
2020-03-01,51.8003600720144
2020-03-02,51.83036607321464
2020-03-03,51.86037207441488
2020-03-04,51.890378075615125
2020-03-05,51.92038407681536
2020-03-06,51.9503900780156
2020-03-07,51.98039607921584
2020-03-08,52.010402080416085
2020-03-09,52.04040808161632
2020-03-10,52.07041408281656
2020-03-11,52.100420084016804
2020-03-12,52.130426085217046
2020-03-13,52.16043208641728
2020-03-14,52.19043808761752
2020-03-15,52.220444088817764
2020-03-16,52.250450090018006
2020-03-17,52.28045609121824
2020-03-18,52.31046209241848
2020-03-19,52.340468093618725
2020-03-20,52.37047409481897
2020-03-21,52.4004800960192
2020-03-22,52.43048609721944
2020-03-23,52.460492098419685
2020-03-24,52.49049809961993
2020-03-25,52.52050410082016
2020-03-26,52.550510102020404
2020-03-27,52.580516103220646
2020-03-28,52.61052210442088
2020-03-29,52.64052810562112
2020-03-30,52.670534106821364
2020-03-31,52.700540108021606
2020-04-01,52.73054610922185
2020-04-02,52.76055211042208
2020-04-03,52.790558111622325
2020-04-04,52.82056411282257
2020-04-05,52.8505701140228
2020-04-06,52.88057611522304
2020-04-07,52.910582116423285
2020-04-08,52.94058811762353
2020-04-09,52.97059411882376
2020-04-10,53.000600120024004
2020-04-11,53.030606121224245
2020-04-12,53.06061212242449
2020-04-13,53.09061812362472
2020-04-14,53.120624124824964
2020-04-15,53.150630126025206
2020-04-16,53.18063612722545
2020-04-17,53.21064212842568
2020-04-18,53.240648129625924
2020-04-19,53.270654130826166
2020-04-20,53.30066013202641
2020-04-21,53.33066613322664
2020-04-22,53.360672134426885
2020-04-23,53.39067813562713
2020-04-24,53.42068413682737
2020-04-25,53.4506901380276
2020-04-26,53.480696139227845
2020-04-27,53.51070214042809
2020-04-28,53.54070814162833
2020-04-29,53.570714142828564
2020-04-30,53.600720144028806
2020-05-01,53.63072614522905
2020-05-02,53.66073214642928
2020-05-03,53.690738147629524
2020-05-04,53.720744148829766
2020-05-05,53.75075015003001
2020-05-06,53.78075615123024
2020-05-07,53.810762152430485
2020-05-08,53.84076815363073
2020-05-09,53.87077415483097
2020-05-10,53.9007801560312
2020-05-11,53.930786157231445
2020-05-12,53.96079215843169
2020-05-13,53.99079815963193
2020-05-14,54.020804160832164
2020-05-15,54.050810162032406
2020-05-16,54.08081616323265
